DISTRITO,PROVINCIA,DEPARTAMENTO,Temp_Min,Temp_Max,Temp_Media,Temp_Desv,Temp_Mediana,Rango
MORONA,DATEM DEL MARAÑON,LORETO,21.159969329833984,23.715970993041992,23.29438722067039,0.3520268817949466,23.358598709106445,2.5560017
PASTAZA,DATEM DEL MARAÑON,LORETO,22.913240432739258,23.91180992126465,23.19563252217061,0.139516074232503,23.185340881347656,0.9985695
YAGUAS,PUTUMAYO,LORETO,22.965227127075195,23.336503982543945,23.13107152478448,0.07810121660020988,23.12592315673828,0.37127686
RAMON CASTILLA,MARISCAL RAMON CASTILLA,LORETO,22.989103317260742,23.239213943481445,23.11336083769273,0.050882325545859974,23.113374710083008,0.25011063
SAN PABLO,MARISCAL RAMON CASTILLA,LORETO,22.93903350830078,23.199003219604492,23.082375742906443,0.05661202431476632,23.08464813232422,0.2599697
PEBAS,MARISCAL RAMON CASTILLA,LORETO,22.89342498779297,23.167617797851562,23.03227712023161,0.051584915299309246,23.034364700317383,0.2741928
LAGUNAS,ALTO AMAZONAS,LORETO,22.61760139465332,23.23193359375,23.00753662109375,0.10311408616428494,23.033023834228516,0.6143322
LAS AMAZONAS,MAYNAS,LORETO,22.79750633239746,23.13304901123047,22.978733888968893,0.0668302237636258,22.97832679748535,0.33554268
URARINAS,LORETO,LORETO,22.771888732910156,23.143463134765625,22.9557310814951,0.06452297889762397,22.948707580566406,0.3715744
PUTUMAYO,PUTUMAYO,LORETO,22.706085205078125,23.20985221862793,22.94466600471369,0.11679947679889531,22.941133499145508,0.503767
IQUITOS,MAYNAS,LORETO,22.783761978149414,23.044252395629883,22.937227884928387,0.06925232022746665,22.942073822021484,0.26049042
INDIANA,MAYNAS,LORETO,22.7596378326416,23.088157653808594,22.930637428977274,0.06387094615245345,22.930086135864258,0.32851982
ANDOAS,DATEM DEL MARAÑON,LORETO,22.540176391601562,23.45200538635254,22.927548241677545,0.18237807599584305,22.903188705444336,0.911829
YAVARI,MARISCAL RAMON CASTILLA,LORETO,22.663803100585938,23.515365600585938,22.92440698294243,0.14533545407566445,22.920835494995117,0.8515625
NAUTA,LORETO,LORETO,22.78388023376465,23.043487548828125,22.915900735294116,0.060492111595950415,22.917543411254883,0.25960732
