DISTRITO,PROVINCIA,DEPARTAMENTO,Temp_Min,Temp_Max,Temp_Media,Temp_Desv,Temp_Mediana,Rango
SUSAPAYA,TARATA,TACNA,-8.782925605773926,2.722630739212036,-5.057249589399858,3.3799652655074537,-6.348470687866211,11.505556
SANTA ROSA,EL COLLAO,PUNO,-8.722503662109375,-2.4671812057495117,-4.926243521950462,1.5751383245965513,-4.576567649841309,6.2553225
CANDARAVE,CANDARAVE,TACNA,-8.273414611816406,6.974405288696289,-4.202588288680367,3.6657816236210303,-5.955936908721924,15.24782
CAPAZO,EL COLLAO,PUNO,-7.490872859954834,-3.204629898071289,-5.241691795555321,1.046237853891723,-5.498918533325195,4.286243
PALCA,TACNA,TACNA,-6.804277420043945,9.781514167785645,-2.182932439840065,4.346090023538424,-4.497212886810303,16.585793
TARATA,TARATA,TACNA,-6.755064010620117,5.42961311340332,-4.893150329589844,2.8784826673730497,-5.710745811462402,12.184677
CARUMAS,MARISCAL NIETO,MOQUEGUA,-6.549747943878174,12.256598472595215,-3.2874041207229037,4.643760948541287,-5.0612030029296875,18.806347
TICACO,TARATA,TACNA,-6.3028645515441895,2.1761868000030518,-4.309867858886719,2.738579776086265,-5.468515396118164,8.479052
PITUMARCA,CANCHIS,CUSCO,-6.198119640350342,1.7308778762817383,-2.881023195054796,1.8271331701717954,-3.307905435562134,7.9289975
SAN ANTONIO DE CHUCA,CAYLLOMA,AREQUIPA,-5.922765254974365,-2.714177131652832,-4.249320690448467,0.6863871331350829,-4.112851142883301,3.2085881
CORANI,CARABAYA,PUNO,-5.897321701049805,-0.18697933852672577,-3.1132830995501894,1.504893524574864,-3.008833169937134,5.7103424
TORATA,MARISCAL NIETO,MOQUEGUA,-5.680854797363281,13.261874198913574,3.6448221675685195,5.562440423915349,3.9700069427490234,18.94273
CAMILACA,CANDARAVE,TACNA,-5.643286228179932,3.149968147277832,-2.060214042663574,2.846036745073993,-2.230081558227539,8.793255
PISACOMA,CHUCUITO,PUNO,-5.608085632324219,-0.8295196890830994,-3.4189818411162407,1.4146513611417688,-3.778608560562134,4.778566
CAIRANI,CANDARAVE,TACNA,-5.498301029205322,6.6967926025390625,-0.04420733451843262,3.7809641279740394,-0.13270792365074158,12.195093
